class_id	class_smarts
Ajmalicine	[#6]-[#6]-1-[#8]-[#6]~[#6]-[#6]-2-[#6]-[#6]-3-[#7](-[#6]-[#6]-1-2)C([#1,!#6])([#1,!#6])[#6]-c1c-3n(-[*,#1])c2ccccc12
Spiro.Ajmalicine	[#6]-[#6]-1-[#8]-[#6]~[#6]-[#6]-2-[#6]-[#6]3-[#7](-[#6]-[#6]-1-2)C([#1,!#6])([#1,!#6])[#6]C31[#6](=O)-[#7](-[*,#1])-c2ccccc12
Ajmaline	[#6]-[#6]-,=[#6]-1-[#6]-[#7]-2-[#6]-3-[#6]C45[#6]-[#6]-3-[#6]-1-[#6]-[#6]-2-[#6]4-[#7](-[*,#1])-c1ccccc51
Akageran	[#6]-[#6]-,=[#6]-[#6]1-[#6]-[#6]-2-[#7](-[*,#1])-[#6]-[#6]-c3c-2n(-[#6]C1([#1,!#6])[#1,!#6])c1ccccc31
Correantan	[#6]~[#6]-[#6]-1-[#6]-[#6]-2-[#7](-[*,#1])-[#6]-[#6]-c3c-2n(-[#6]-[#6]-1~[#6])c1ccccc31
Akuammicine	[#6]-[#6]-,=[#6]-1-[#6]-[#7]-2-[#6]-[#6]C34[#6](~[#6]-[#6]-1-[#6]-[#6]-23)-[#7](-[#1,!#6])-c1ccccc41
Akuammiline	[#6]-[#6]-,=[#6]-1-[#6]-[#7]-2-[#6]-[#6]C34[#6]-[#6]-1-[#6]-[#6]-2-[#6]3-,=[#7]-c1ccccc41
Seco.Akuammiline	[#6]-[#6]-,=[#6]-1-[#6]-[#7](-[*,#1])-[#6]2-[#6]-[#6]-1-[#6]C13[#6]-[#6][!#1!#6]C21[#7]-c1ccccc31
Arbornane	[#6]-[#6]~[#6]-1-[#6]-[#7]-2-[#6]-[#6]-c3c4-[#6]-2-[#6]-1-[#6]-[#6]-n4c1ccccc31
Aspidofractane	[*,#1]-[#7]1-c2ccccc2C23[#6]4-[#7](-,=[#6]-[#6]-,=[#6]C44[#6]-,=[#6]C12[#6]-[#6]4)-[#6]C3([#1,!#6])[#1,!#6]
Aspidosperma	[#6]-,=[#6]C12[#6]-,=[#6]-[#6]-,=[#7]-3-[#6]-[#6]C4([#6](-,=[#6]-[#6]1)-[#7](-[*,#1])-c1ccccc41)[#6]2-3
Cadambane	[*,#1]-n1c2-[#6]-3-[#6]-[#6]-4-[#6]-,=[#6]-[#8]-[#6]-[#6]-4-[#6]-[#6]-[#7]-3-[#6]-[#6]-c2c2ccccc12
Camptothecin	O=[#6]-1-[#6]-[#6]-2=[#6](-[#6]-[#8]-1)-[#6](=O)-[#7]-1-[#6]-c3cc4ccccc4nc3-[#6]-1=[#6]-2
Chanofruticosinate	[*,#1]-[#7]-1-[#6]2-[#6]-,=[#6]C34[#6]-,=[#6]-[#6]-,=[#7]-5-[#6]-[#6](-[#6](=O)C3([#1,!#6])[#1,!#6])C2([#6]4-5)c2ccccc-12
Chipiine	[#6]-[#6]-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-1-[#7](-[*,#1])-[#6]-[#6]-c1c-3n(-[#6]-2)c2ccccc12
