class_id	class_smarts
Query_1a	[*]-c1nc2ncccc2n1 |$CAL_p;;;;;;;;;$|
Query_1b	[*]-[c;D3]1[n;D2,D3][c;D3]2[n;D2,D3][c;D2,D3][c;D2,D3][c;D2,D3][c;D3]2[n;D2,D3]1 |$CAL_p;;;;;;;;;$|
Query_1c	[*]-[c;D3]1[n;D2][c;D3]2[c;D2][c;D2][c;D2][n;D2][c;D3]2[n;D2]1 |$CAL_p;;;;;;;;;$|
Query_2a	[#6]-*.[c;D2]1n[c;D3]2[c;D2][c;D2][c;D2][n;D2][c;D3]2n1 |m:1:10.3|
Query_2b	[#6;D1]-*.[c;D2]1n[c;D3]2[n;D2][c;D2][c;D2][c;D2][c;D3]2n1 |m:1:3.10|
Query_2c	[#6;D1]-*.[c;D2]1n[c;D3]2[n;D2][c;D2][c;D2][c;D2][c;D3]2n1 |m:1:10.3,Sg:n:0:1-2:ht|
Query_2d	[#6;D1]-*.[!#6;D1]-*.[c;D2]1n[c;D3]2[c;D2][c;D2][c;D2][n;D2][c;D3]2n1 |m:1:5.12,3:5.12|
Query_2e	[#6;D1]-*.[!#6;D1]-*.[c;D2]1n[c;D3]2[n;D2][c;D2][c;D2][c;D2][c;D3]2n1 |m:1:12.5,3:12.5,Sg:n:2:0-1:ht|
Query_3a	[#8;D1]-*.O=[#6]-1-[#6;D2]-[#6;D3](-[#8;D2]-[c;D3]2[c;D2][c;D2][c;D2][c;D2][c;D3]-12)-[c;D3]1ccccc1 |m:1:14.15.16.17.18|
Query_3b	[#8;D1]-*.[#8;D1]-*.O=[#6]-1-[#6;D2]-[#6;D3](-[#8;D2]-[c;D3]2[c;D2][c;D2][c;D2][c;D2][c;D3]-12)-[c;D3]1ccccc1 |m:1:15.16.17.18.19,3:15.16.17.18.19|
Query_3c	[*]-c1c(-[*])c(-[*])[c;D3]2-[#6](=O)-[#6;D2]-[#6;D3](-[#8;D2]-[c;D3]2c1-[*])-[c;D3]1ccccc1 |$_R1;;;_R2;;_R3;;;;;;;;;_R4;;;;;;$,RG:_R1={[#8;D1]-* |$;_AP1$|},_R2={[#8;D1]-* |$;_AP1$|},_R3={[#8;D1]-* |$;_AP1$|},_R4={[#8;D1]-* |$;_AP1$|},LOG={_R1:;;0-1._R2:;;0-1._R3:;;0-1._R4:;;0-1}|
Query_4	[#7]-[*]-[c;D3]1[n;D2][c;D3]2[n;D2]ccc[c;D3]2[n;D2]1.[#6,#7,#8;A]* |$;star_e;;;;;;;;;;;$,m:12:6.7.8,LN:1:1.3|
Query_5a	[#6;A][#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6][#7;A;+0]([#6;AH3])[#6;AH3] |LN:11:1.3|
Query_5b	[#6;A][#6][#7;A;+0]([#6;AH3])[#6;AH3] |LN:1:11.13|
Query_6	[c;D2,D3]1[n;D2,D3][c;D3]2[n;D2,D3][c;D2,D3][c;D2,D3][c;D2,D3][c;D3]2[n;D2,D3]1
